eventID,DescriptionEN
Submit Scheduled Job,Submit Scheduled Job
Submit Scheduled Job Parameter,Submit Scheduled Job Parameter
Submit User Role,Submit User Role
UnlockSettlementLock,UnlockSettlementLock
Update Balance Agreement,Update Balance Agreement
Update Calendar Day,Update Calendar Day
Update Organisation,Update Organisation
Update Organisation,Update Organisation
Update Personal Info,Update Personal Info
Update Personal Info,Update Personal Info
UpdateForwardingRule,UpdateForwardingRule
UpdateForwardingRule,UpdateForwardingRule
UpdateOrganisationUser,UpdateOrganisationUser
UpdateOrganisationUser,UpdateOrganisationUser
UpdateVEEConfiguration,UpdateVEEConfiguration
View Accounting Point,View Accounting Point
View Accounting Point,View Accounting Point
View Calendar Time Series,View Calendar Time Series
View Calendar Time Series,View Calendar Time Series
View Customer,View Customer
View Customer,View Customer
View Customer Authorisation,View Customer Authorisation
View Customer Authorisation,View Customer Authorisation
View Customer RBF,View Customer RBF
View Customer RBF,View Customer RBF
View Energy Community,View Energy Community
View Energy Community,View Energy Community
View Energy Community for Update,View Energy Community for Update
View Energy Community for Update,View Energy Community for Update
View Exchange Point,View Exchange Point
View Exchange Point,View Exchange Point
View Grid Agreement,View Grid Agreement
View Grid Agreement,View Grid Agreement
View Grid Agreement History,View Grid Agreement History
View Grid Agreement History,View Grid Agreement History
View Metering Grid Area,View Metering Grid Area
View Metering Grid Area,View Metering Grid Area
View Metering Point Authorisation,View Metering Point Authorisation
View Metering Point Authorisation,View Metering Point Authorisation
View Party Authorisation,View Party Authorisation
View Party Authorisation,View Party Authorisation
View Price Time Series,View Price Time Series
View Price Time Series,View Price Time Series
View Product,View Product
View Product,View Product
View Product Component,View Product Component
View Product Component,View Product Component
View Production Unit,View Production Unit
View Production Unit,View Production Unit
View Sales Agreement,View Sales Agreement
View Sales Agreement,View Sales Agreement
View Sales Agreement History,View Sales Agreement History
View Sales Agreement History,View Sales Agreement History
,Description not found
